104.17.59.12:443#104.17.59.12 | 1ms
172.64.52.166:443#CF-71.78MB/s | 2ms
162.159.152.81:443#CT | 2ms
162.159.153.156:443#CT | 2ms
172.67.253.153:443#CM-LAX | 2ms
172.64.50.155:443#CF-59.8MB/s | 3ms
172.64.53.210:443#CF-71.74MB/s | 3ms
162.159.153.212:443#CT | 3ms
162.159.153.184:443#CT | 3ms
104.19.91.187:443#CT-SJC | 3ms
104.19.55.68:443#104.19.55.68 | 3ms
162.159.152.225:443#CT | 4ms
162.159.153.144:443#CT | 5ms
172.67.88.71:443#CU-LAX | 6ms
104.16.170.4:443#CT-SJC | 6ms
162.159.243.172:443#CU-LAX | 6ms
104.19.36.115:443#104.19.36.115 | 7ms
104.17.62.197:443#104.17.62.197 | 7ms
104.16.209.222:443#CT-SJC | 8ms
172.64.90.21:443#CT-SJC | 9ms
172.67.119.211:443#CM-LAX | 10ms
104.19.48.49:443#104.19.48.49 | 11ms
172.67.98.193:443#CU-LAX | 12ms
104.19.156.188:443#104.19.156.188 | 12ms
104.18.218.71:443#CT-SJC | 13ms
162.159.39.214:443#CF-55.68MB/s | 21ms
162.159.45.73:443#CF-71.78MB/s | 21ms
108.162.198.110:443#CF-67.77MB/s | 26ms
162.159.38.119:443#CF-71.35MB/s | 26ms
162.159.44.109:443#CF-70.5MB/s | 27ms
104.17.195.186:443#104.17.195.186 | 81ms
104.19.154.129:443#104.19.154.129 | 82ms
104.19.144.134:443#104.19.144.134 | 85ms
104.17.206.188:443#104.17.206.188 | 86ms
